id,channel_id,call,author.id,author.username,author.avatar,author.discriminator,author.public_flags,author.premium_type,author.flags,author.banner,author.accent_color,author.global_name,author.avatar_decoration_data,author.banner_color,content,timestamp,edited_timestamp,tts,mention_everyone,mentions,mention_channels,attachments,embeds,reactions,nonce,pinned,webhook_id,type,activity,application,application_id,message_reference,flags,referenced_message,interaction,thread,components,sticker_items,stickers,position,role_subscription_data,resolved,userName,date
1212575186730225674,1076592903301890168,,632814271033507862,diruslupito,89171fc996ad02b6852bd3e878097d58,0,0,0,0,,,Diruslupus,,,"ok he said yes, ill make a gc",2024-02-29T01:40:53.074000+00:00,,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,diruslupito,2024-02-29T01:40:53.074Z
1212554034494447616,1076592903301890168,,632814271033507862,diruslupito,89171fc996ad02b6852bd3e878097d58,0,0,0,0,,,Diruslupus,,,I'll ask my roommate if you can join our 422 group,2024-02-29T00:16:49.988000+00:00,2024-02-29T00:52:12.379000+00:00,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,diruslupito,2024-02-29T00:16:49.988Z
1197314240009216080,1076592903301890168,,458413180893397022,gamemaster618,88170c60873b464ae44d0530c0b7d4f2,0,0,0,0,,,Gamemaster,,,Yeah this class is gonna suck,2024-01-17T22:59:19.841000+00:00,,false,false,,,,,,,false,,19,,,,,0,,,,,,,,,,gamemaster618,2024-01-17T22:59:19.841Z
1197314183751028856,1076592903301890168,,632814271033507862,diruslupito,89171fc996ad02b6852bd3e878097d58,0,0,0,0,,,Diruslupus,,,Might as well do practice problems,2024-01-17T22:59:06.428000+00:00,,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,diruslupito,2024-01-17T22:59:06.428Z
1197314180852752505,1076592903301890168,,458413180893397022,gamemaster618,88170c60873b464ae44d0530c0b7d4f2,0,0,0,0,,,Gamemaster,,,Up front near the middle,2024-01-17T22:59:05.737000+00:00,,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,gamemaster618,2024-01-17T22:59:05.737Z
1197314160460054538,1076592903301890168,,632814271033507862,diruslupito,89171fc996ad02b6852bd3e878097d58,0,0,0,0,,,Diruslupus,,,Better than snoozing through 3 hours of lecture,2024-01-17T22:59:00.875000+00:00,,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,diruslupito,2024-01-17T22:59:00.875Z
1197314125777350666,1076592903301890168,,458413180893397022,gamemaster618,88170c60873b464ae44d0530c0b7d4f2,0,0,0,0,,,Gamemaster,,,Didn't realize you were in this class too,2024-01-17T22:58:52.606000+00:00,,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,gamemaster618,2024-01-17T22:58:52.606Z
1197314068164378694,1076592903301890168,,458413180893397022,gamemaster618,88170c60873b464ae44d0530c0b7d4f2,0,0,0,0,,,Gamemaster,,,That sounds riviting lmao,2024-01-17T22:58:38.870000+00:00,,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,gamemaster618,2024-01-17T22:58:38.870Z
1197314008768860280,1076592903301890168,,632814271033507862,diruslupito,89171fc996ad02b6852bd3e878097d58,0,0,0,0,,,Diruslupus,,,Meth 520 linear algebruh,2024-01-17T22:58:24.709000+00:00,,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,diruslupito,2024-01-17T22:58:24.709Z
1197313975348625448,1076592903301890168,,632814271033507862,diruslupito,89171fc996ad02b6852bd3e878097d58,0,0,0,0,,,Diruslupus,,,Doing meth,2024-01-17T22:58:16.741000+00:00,,false,false,,,,,,,false,,0,,,,,0,,,,,,,,,,diruslupito,2024-01-17T22:58:16.741Z
